skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
ZakarumLightning	332														monsterlight																																																																															sorceress_cast_lightning											light_cast_1									monsterlight													1	0		none												SQ	SQ	S1																														1															0	0									1	0																																														1								8																																				0	0	0
VampireMissile	333				8													firehead	firehead	firehead																																																																																									17						firehead	firehead	firehead										1	0		none												SC	SC	SC																														1															0	0									1	0										3+ulvl/10				3+ulvl/10																																1								8															fire	6	6	6	6	6	6	6	6	6	6	6	6	ulvl*5								0	0	0
MephistoMissile	334														mephisto																																																																																																			mephisto													1	0		none												SC	SC	A2																														1															0	0									1	0																																														1								8																																				0	0	0
DoomKnightMissile	335				148													undeadmissile1																																																																																											94						undeadmissile1												1	0		none												SC	SC	S1																														1															0	0									1	0																																														1								8																																				0	0	0
RogueMissile	336				110													rogue1																																																																																											66						rogue1												1	0		none												A1	A1	A1																														1															0	0									1	0																																														1								8	128																																			0	0	0
HydraMissile	337														hydra																																																																																																			hydra													1	0		none												SC	SC	SC																														1															0	0									1	0										((skill('Fire Ball'.blvl)==20)?par2:par1)+stat('fireball_radius'.accr)	Explosion Radius											3	Explosion Radius	6	Explosion Radius Mastery	0	Missile Activation Frame																			1								8																																				0	0	0
NecromageMissile	338				149													necromage1																																																																																											95						necromage1												1	0		none												SC	SC	A1																														1															0	0									1	0																																														1								8																																				0	0	0
MonBow	339			8	12													cr_arrow6	cr_arrow6								25																																																																																	13	20						cr_arrow6	cr_arrow6											1	0		rng												A1	A1	A1				1																										1															0	0									1	0										lvl/2	Minimum # of Missiles created	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)	Damage %	lvl/2	Maximum # of Missiles created							5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy							1								8	128																																			0	0	0
MonFireArrow	340			8	12													firearrow	firearrow								25																																																																																	13	20						firearrow	firearrow											1	0		rng												A1	A1	A1				1																										1															0	0									1	0										lvl/2	Minimum # of Missiles created	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)	Damage %	lvl/2	Maximum # of Missiles created							5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy							1	10	10						8	128														fire	1	8	8	8	8	8	4	9	9	9	9	9									0	0	0
MonColdArrow	341			8	12													coldarrow	coldarrow								25																																																																																	13	20						coldarrow	coldarrow											1	4		rng												A1	A1	A1				1																										1															0	0									1	0										lvl/2	Minimum # of Missiles created	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)	Damage %	lvl/2	Maximum # of Missiles created							5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy							1	10	10						8	128														cold	1	7	7	7	7	7	4	8	8	8	8	8		100	25	25	25				0	0	0
MonExplodingArrow	342			8	12													explodingarrow	explodingarrow								25																																																																																	13	20						explodingarrow	explodingarrow											1	5		rng												A1	A1	A1				1																										1															0	0									1	0										lvl/2	Minimum # of Missiles created	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)	Damage %	lvl/2	Maximum # of Missiles created							5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy							1	10	10						8	128														fire	2	8	8	8	8	8	6	9	9	9	9	9									0	0	0
MonFreezingArrow	343			8	12													freezingarrow	freezingarrow								25																																																																																	13	20						freezingarrow	freezingarrow											1	7		rng												A1	A1	A1				1																										1															0	0									1	0										lvl/2	Minimum # of Missiles created	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)	Damage %	lvl/2	Maximum # of Missiles created							5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy							1	10	10						8	128														cold	2	7	7	7	7	7	6	8	8	8	8	8		100	25	25	25				0	0	0
MonPowerStrike	344			6	2																																																																																																																										1	4		h2h												A1	A1	A1				1		1	1								1															1															0	0									1	0																0	% Damage Dealt as Elemental (Used only if there is an Etype)																													1	20	15						8	128														ltng	1	0	0	0	0	0	16	12	12	12	12	12									0	0	0
SuccubusBolt	345			4											succubusmiss																																																																																													11						succubusmiss													1	0		rng												SC	SC	S2				1																										1															0	0									1	0																																														1								8															mag	10	2	4	6	6	6	15	2	5	7	7	7									0	0	0
MephFrostNova	346				22													mephfrostnova	mephfrostnova	mephfrostnova																																																																										sorceress_cast_cold															25						frostnova				0	Missile Velocity Adder							1	6		none												SC	SC	A2																				1										1															0	0									1	0										0	Missile Velocity Adder																																			1								8															cold	40	20	20	20	20	20	60	20	20	20	20	20		200	50	50	50				0	0	0
MonIceSpear	347			6	2																																																																																																																										1	4		h2h												A1	A1	A1				1		1	1								1															1															0	0									1	0																																														1	20	15						8	128														cold	10	8	8	8	8	8	14	9	9	9	9	9		125	25	25	25				0	0	0
ShamanIce	348														glacialspike											ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																																			sorceress_cast_cold																				glacialspike													1	7		none												SC	SC	xx																				1										1															0	0									1	0																						4	Radius baseline	0	Radius per level	50	Freeze Length baseline	3	Freeze Length per level																	1								8															cold	4	10	14	14	14	14	12	10	15	15	15	15		125	50	50	50				0	0	0
Diablogeddon	349				124													diablogeddoncontrol	diablogeddoncontrol	diablogeddoncontrol				armageddon		ln12	par3																																																																			druid_firecast_a																	92				diablogeddontail	diablogeddonrock			25	Missile Frames	25	Missile Fall Rate	15	Missile Slide Rate			1	0		none												SC	SC	S3				1																										1															0	0									1	0																						1000	Duration baseline	50	Duration per level	8	Radius	8	Delay between Missiles created																	1								8		4	4	6	8	10	12	16	4	7	9	12	14		fire	25	15	20	25	30	35	75	16	22	27	33	38									0	0	0
Delerium Change	350		delerium change		116																			delerium		1500		velocitypercent	33	attackrate	33	other_animrate	33																																																																											45																			1	0		none												SC	SC	NU				1																1										1															0	0										0																																												0	Allow Instant Direct Transformation	1								8																																				0	0	0
NihlathakCorpseExplosion	351			17	55																						"min(30,16+lvl)"																																																																		1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32						corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1									1										1															0	0									1	0										par1	Damage % of base HP for enemy Min	par2	Damage % of base HP for enemy Max	par5	% Damage Dealt as Elemental							10	Damage % of base HP for enemy Min	20	Damage % of base HP for enemy Max					50	Damage % Dealt as Elemental															1								8															fire																					0	0	0
SerpentCharge	352			31	67																																																																																																							25	37																		1	2		none												SQ	A1	xx	4					1	1								1															1															0	0										0										ln34	Damage %	0	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Velocity %			0	Damage % baseline	0	Damage % per level																	1	50	15						8	96																																			0	0	0
Trap Nova	353				22													trapnova	trapnova	trapnova																																																																										sorceress_cast_lightning											light_cast_1				25						trapnova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																											sorceress_cast_lightning			1															0	0										0										0	Missile Velocity Adder																																			1								8																																				0	0	0
UnHolyBoltEx	354														unholybolt1																																																																																																			unholybolt1													1	0		none												SQ	SQ	xx																														1															0	0									1	0																																														1								8																																				0	0	0
ShamanFireEx	355														shafire1																																																																																																			shafire1													1	0		none												SQ	SQ	xx																														1															0	0									1	0																																														1								8																																				0	0	0
Imp Fire Missile Ex	356														impmiss21																																																																															sorceress_cast_fire											fist_will_cast									impmiss21													1	0		none												A1	A1	A1																														1															0	0									1	0										lvl-1	range adder																																			1								8																																				0	0	0
Interact	357		interact																																																																																																																													0		none														xx																														1															0	0										0																																														1																																												0	0	0
Loot	358		loot																																																																																																																													0		none														xx																														1															0	0										0																																														1																																												0	0	0
TownPortal	359		townportal																																																																																																																													0		none														xx																														1															0	0										0																																														1																																												0	0	0
EmoteWheel	360		emotewheel																																																																																																																													0		none														xx																														1															0	0										0																																														1																																												0	0	0
SwapWeapons	361		swapweapons																																																																																																																																																																											1															0	0										0																																																																																										0	0	0
Map	362		map																																																																																																																																																																											1															0	0										0																																																																																										0	0	0
ShowItems	363		showitems																																																																																																																																																																											1															0	0										0																																																																																										0	0	0
RunToggle	364		runtoggle																																																																																																																																																																											1															0	0										0																																																																																										0	0	0
FireHit	365			42	83																																																																																																																										1	0		none												SQ	SQ	xx				1																										1															0	0									1	0																																														1	20	10						8																																				0	0	0
Stun	366		stun	32	2																																																																																										barbarian_grunt_small_1	1																															1	0		h2h		mele										A1	A1	xx				1		1	1								1					1										1															1	1					1	8	2	0	1	1										skill('Bash'.blvl)*par8	Damage %	0	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					30	Stun Length baseline	5	Stun Length per level							5	Duration synergy	5	Attack Rating synergy	8	Damage synergy									1			10+lvl*5+skill('Concentrate'.blvl)*par7			96		8	128														stun														30	5	5	2				0	0	0
MaggotEgg	367			43	84																																																																																									sandmaggotegg_hatch_1															46																		1	0		none												SQ	SQ	xx																														1															0	0									1	0										"(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)"	# of units to spawn																																			1								8																																				0	0	0
Decoy_Nova	368				22													dnova	dnova	dnova																																																																										sorceress_cast_lightning											light_cast_1				25						dnova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																				36	10						sorceress_cast_lightning			1															0	0									1	0										0	Missile Velocity Adder					ln12	Stun Duration					25	Stun Duration Baseline	10	Stun Duration Per Level																					1								6															ltng	1	6	7	8	9	10	20	8	9	10	11	12									0	0	0
UnHolyBolt	369				8													unholybolt1	unholybolt1	unholybolt1																																																																																									17						unholybolt1	unholybolt1	unholybolt1										1	0		none												SQ	SQ	xx																														1															0	0									1	0										3+ulvl/10				3+ulvl/10																																1								8															mag	3	3	3	3	3	3	3	3	3	3	3	3	ulvl*5								0	0	0
CubeLoot	370		cubeloot																																																																																																																													0		none														xx																														1															0	0																																																								1																																													0	0
SkeletonRaise	371																																																																																																																														1	0		none												SQ	SQ	xx								1	1		1																			1															0	0									1	0																																														1								8																																				0	0	0
CouncilHydra	372		hydra	14	144																																												passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)																									hydra1x	hydra	9	S2	HydraMissile2	lvl											1	sorceress_cast_fire											fire_cast_2			17																			1	7		none												SC	SC	S1					4															1					1		sorceress_cast_fire	fire_cast_2		1													100		1	1					1	7	40	1	1	1										ln12	Duration											200	Duration baseline	0	Duration per level											3	Damage synergy									1								7															fire	28	11	15	19	23	27	39	13	17	21	25	29									0	0	0
HydraMissile2	373														hydra2																																																																																																			hydra2													1	0		none												SC	SC	SC																														1															0	0									1	0										3	Explosion Radius																																			1								8																																				0	0	0
Tri_Hydra_F	374														hydraa																																																																																																			hydraa													1	0		none												SC	SC	SC																														1															0	0									1	0										((skill('Fire Ball'.blvl)==20)?par2:par1)+stat('fireball_radius'.accr)	Explosion Radius											3	Explosion Radius	6	Explosion Radius Mastery	0	Missile Activation Frame																			1								8																																				0	0	0
Tri_Hydra_L	375														hydrab																																																																																																			hydrab													1	0		none												SC	SC	SC																														1															0	0									1	0										3	Explosion Radius																																			1								8																																				0	0	0
Tri_Hydra_I	376														hydrac																																																																																																			hydrac													1	0		none												SC	SC	SC																														1															0	0									1	0										3	Explosion Radius																																			1								8																																				0	0	0
NecroArcherArrow	377				149													necroarrow																																																																																											95						necroarrow												1	0		none												SC	SC	A1																														1															0	0									1	0																																														1								8	128	10	5	5	5	5	5	15	5	5	5	5	5		rand	4	4	4	4	4	4	4	4	4	4	4	4		25	25	25					0	0	0
LeapAttack	378		leap attack	41	78																	bash																																																																							1		barbarian_leapattack_1													30	44																		1	6		none		mele										SQ	A1	xx	14		1		4	1																								1															1	1					1	8	9	0	1	1										ln34+skill('Leap'.blvl)*par8	Damage %	par7	Leap Speed %			0	% Damage Dealt as Elemental									100	Damage % baseline	30	Damage % per level					100	Leap Speed %	10	Damage synergy									1	50	15						8	128																																			0	0	0
ShamanFire	379				8													shafire1	shafire1																																																																																										17						shafire1	shafire1											1	0		none												SQ	SQ	xx																														1															0	0									1	0										3+ulvl/10				3+ulvl/10																																1								8															fire	6	6	6	6	6	6	6	6	6	6	6	6	ulvl*5								0	0	0
Sanctuary_I	380		sanctuary_i		66																		59270	sanctuary			ln12																						item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																																																			cast_undead										sanctuarybolt												1	0		none														xx																				1										1															0	1					1	8	1	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			5	Radius baseline	1	Radius per level	150	Damage to Undead % baseline	30	Damage to Undead % per level	100	Attack Rating to Undead baseline	50	Attack Rating to Undead per level	100	"Area Damage % Range Scaling (from 100% to X% damage, based on how close the enemy position is to the caster)"	7	Damage synergy									1				11		157		8															mag	16	8	8	10	10	12	32	8	10	12	12	14									0	0	0
Redemption_I	381		redemption_i		82																		4354	redemption			ln12																																																																																								redemption												1	0		none														xx																														1															0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))							dm34	% chance to redeem	ln56	HP gained	ln56	Mana gained							16	Radius baseline	0	Radius per level	10	% chance to redeem Min	100	% chance to redeem Max	25	HP and Mana gained baseline	5	HP and Mana gained per level													1								8																																				0	0	0
Vigor_I	382		vigor_i		65																		73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																																																																																													1	1	1		none														xx																														1															0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	3	Radius per level	50	Stamina % baseline	25	Stamina % per level	7	Velocity % Min	50	Velocity % Max													1								8																																				0	0	0
Meditation_I	383		meditation_i		65																		73729	meditation	meditation		ln12	manarecoverybonus	ln34	hitpoints	skill('Prayer'.edns)																																																																																																1	7		none														xx																														1															0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	300	Mana Recovery % baseline	25	Mana Recovery % per level																	1								8																																				0	0	0
FollowAura	384																																													slowmiss	z229		item_aura	lvl*lvl																																																																													1	8		none														xx				1																										6	10														0	0					0	8	0	0	1	0							1															50	% Velocity of missiles baseline	2	% Velocity of missiles per level	300	Duration baseline	150	Duration per level	20	Radius baseline	0	Radius per level													1								8																																		10		0	0	0
Conversion	385			32	79																				conversion	ln12																																																																																																					1	0		h2h		mele										A1	A1	xx				1		1	1								1															1	20														1	1					0	8	0	0	1	1										dm34	% chance to convert	0	Flat Damage	dm78	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					400	Duration baseline	0	Duration per level	5	% chance to convert Min	50	% chance to convert Max	0	"Use sumskill1 on convert expire? (0 = Off | 1 = On) (If 1, then it needs to have ItemEffect=1)"			5	IAS min	40	IAS Max									1								8	128																																	4		0	0	0
Ignite	386		ignite												ignite																																																																																																			ignite														6		h2h														xx																				1			0				sorceress_cast_fire	druid_fire_cast_2		1															0	0									1	0										par1	Radius of Disc of Missiles	par2	Explosion Damage Radius									1	Radius of Disc of Missiles	2	Explosion Damage Radius																					1								8																																				0	0	0
ReduceFireResist	387		reduce fire resist		66																		42371	resistfire	resistfire		20	fireresist	-(lvl*3)																																																																																																		1	6		none														xx																														1									1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			10	Radius baseline	0	Radius per level	2	Resistance % reduction min	2	Resistance % reduction max																	1								8																																				0	0	0
ReduceColdResist	388		reduce cold resist		66																		42371	resistcold	resistcold		20	coldresist	-(lvl*3)																																																																																																		1	6		none														xx																														1									1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			10	Radius baseline	0	Radius per level	2	Resistance % reduction min	2	Resistance % reduction max																	1								8																																				0	0	0
ReduceMagResist	389		reduce mag resist		66																		42371	resistmagic	resistmagic		20	magicresist	-(lvl*3)																																																																																																		1	6		none														xx																														1									1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			10	Radius baseline	0	Radius per level	1	Resistance % reduction min	1	Resistance % reduction max																	1								8																																				0	0	0
ReduceLightResist	390		reduce light resist		66																		42371	recharge	recharge		20	lightresist	-(lvl*3)																																																																																																		1	6		none														xx																														1									1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			10	Radius baseline	0	Radius per level	2	Resistance % reduction min	2	Resistance % reduction max																	1								8																																				0	0	0
RapidStrikes	391		rapid strikes	5	7																																																																																										amazon_jab_1				weapon_1ht_1	weapon_1ht_1								12	16																			3		h2h		knif										SQ	A1	xx	1		1	1		1	1								1															1															1	1										1				1						ln34	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)									0	Damage % baseline	50	Damage % per level																	1	50	25						8	128																																			0	0	0
SkeleCalc1	392																																													slowmiss			fireresist	min(lvl*5,80)	coldresist	min(lvl*5,80)	lightresist	min(lvl*5,80)	poisonresist	min(lvl*5,80)																																																																							1	8		none														xx																														1															0	0					0	8			1	0							1																																							1								8		0	0	1	2	3	4																													0	0	0
ConcNova	393				22													concnova	concnova	concnova																																																																																					light_cast_1				25						concnova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																														1															0	0									1	0										0	Missile Velocity Adder					par8	Shots Fire																			20	Shots Fires									1				16384	778	96		8	-128														mag	8	8	10	13	16	20	16	8	11	15	18	23	(((skill('Holy Bolt'.blvl)*par8)*(100+stat(357.accr)))/100)+(stat('ex_missiles'.accr)*2)								0	0	0
ConcAura1	394				65																		73731	penetrate	penetrate		10	item_fasterattackrate	dm34	magicmindam	(blvl==0)?par5:(blvl*par5)	magicmaxdam	(blvl==0)?par6:(blvl*par6)	item_fastercastrate	dm34	item_absorbmagic	(blvl==20)?10:0																																																																																									1	1	6		none														xx																														1															0	1									1	1	1		5																							5	Speed % Min	50	Speed % Max	2	Magic Dmg Min	3	Magic Damage Max													1								8																																				0	0	0
MON_Jab	395			5	7																																																																																										amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																		1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1															1															0	0										0										ln34	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)									-15	Damage % baseline	3	Damage % per level																	1	10	9						8	128																																			0	0	0
MON_Chain_Lightning	396				26													monchainlightning	monchainlightning	monchainlightning							par1																																																																			sorceress_cast_lightning											light_cast_1				27						monchainlightning	monchainlightning	monchainlightning										1	2		none												SQ	SC	SC	12			1																151	96						sorceress_cast_lightning			1															0	0									1	0										ln34/par5	# of target jump hits											20	Radius of jump to next target			26	# of target jump hits baseline	1	# of target jump hits per level	5	"Every # levels, increase target jump"															1								8															ltng	1	0	0	0	0	0	40	11	13	15	15	15									0	0	0
MON_Smite	397				150																																																																																									weapon_2hs_large_1		1																															1	9		h2h	4	shld										S1	S1	xx				1		1	1								1															1															0	0										0										ln34	Damage %	"min(ln12,250)"	Stun Length			0	% Damage Dealt as Elemental (Used only if there is an Etype)					15	Stun Length baseline	5	Stun Length per level	15	Damage % baseline	15	Damage % per level																	1				8				8																																				0	0	0
MON_Charge	398			31	67																																																																																								1	paladin_charge														25	37																		1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1															1															0	0										0										ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	Damage %	par1	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Velocity %			100	Damage % baseline	25	Damage % per level																	1	50	15						8	128																																			0	0	0
MON_Holy_Freeze	399				81																		303747	holywind	holywindcold		ln12	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																																											1	8		none														xx																														1															0	0									1	0	1		50																			6	Radius baseline	1	Radius per level	25	Slow % Min	60	Slow % Max	5	Damage multiplier added to Attacks	100	"Area Damage % Range Scaling (from 100% to X% damage, based on how close the enemy position is to the caster)"	7	Damage synergy											1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5									0	0	0
MON_Glacial_Spike	400														monglacialspikex											ln34 * (100 + skill('MON_Blizzard'.blvl) * par7) / 100	ln12																																																																			sorceress_cast_cold											ice_cast_2									monglacialspikex													1	7		none												SC	SC	SC																				1							sorceress_cast_cold			1															0	0									1	0																						4	Explosion Radius baseline	0	Explosion Radius per level	50	Freeze Length baseline	3	Freeze Length per level					3	Freeze Length synergy											1								7															cold	32	14	26	28	30	32	48	15	27	29	31	33									0	0	0
MON_Frost_Nova	401				22													monfrostnova	monfrostnova	monfrostnova																																																																										sorceress_cast_cold											ice_cast_2				25						monfrostnova				0	Missile Velocity Adder							1	6		none												SC	SC	SC																				36	10						sorceress_cast_cold			1															0	0									1	0										0	Missile Velocity Adder																																			1								7															cold	4	4	6	8	10	12	8	5	7	9	11	13		200	25	25	25				0	0	0
MON_Fire_Ball	402														monfireball																																																																															sorceress_cast_fire											fire_cast_2									monfireball													1	5		none												SC	SC	xx																				1							sorceress_cast_fire			1															0	0									1	0										par1	Explosion Radius											4	Explosion Radius																							1								7															fire	12	13	23	28	33	38	28	15	25	30	35	40									0	0	0
MON_Weaken	403				30																		3		weaken	ln34	ln12	damagepercent	par5																																																																	necromancer_curse_cast														18	30						curseweaken		cursecast										1	9		none												SC	SC	SC					4															1							necromancer_curse_cast			1															0	0									1	0																						9	Radius baseline	1	Radius per level	350	Duration baseline	60	Duration per level	-33	% Damage Dealt															1								8																																				0	0	0
MON_Decrepify	404				30																		3		decrepify	ln34	ln12	velocitypercent	par5	damagepercent	par5	damageresist	par5	attackrate	par5																																																											necromancer_curse_cast														18	30						cursedecrepify		cursecast										1	9		none												SC	SC	S2					4															1							necromancer_curse_cast			1															0	0									1	0																						6	Radius baseline	0	Radius per level	100	Duration baseline	15	Duration per level	-50	Slow % / Damage Dealt % / Damage Resistance %															1								8																																				0	0	0
MON_Amplify_Damage	405				30																		3		amplifydamage	ln34	ln12	damageresist	-par5																																																																	necromancer_curse_cast														18	30						curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4															1							necromancer_curse_cast			1															0	0									1	0																						3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	100	Damage Resistance %															1								8																																				0	0	0
MON_Whirlwind	406			38	76	1																		whirlwind																																																																					1	barbarian_whirlwind														31	45	1																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1															1															0	0										0										ln12	Damage %											-50	Damage % baseline	8	Damage % per level																					1		5						8	128																																			0	0	0
MON_Shout	407				68													monshout						shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12																																																																		barbarian_shout_1														25						monshout				0	Missile Velocity Adder							1	8		none												SC	SC	SC				1																										1															0	0									1	0																						100	Armor % baseline	10	Armor % per level	500	Duration baseline	250	Duration per level							125	Duration synergy									1								8																																				0	0	0
MON_Leap_Attack	408			41	78																	bash																																																																							1		barbarian_leapattack_1													30	44																		1	6		none		mele										SQ	A1	xx	14		1		4	1																								1															0	0									1	0										ln34+skill('Leap'.blvl)*par8	Damage %	par7	Leap Speed %			0	% Damage Dealt as Elemental									100	Damage % baseline	30	Damage % per level					100	Leap Speed %	10	Damage synergy									1	50	15						8	128																																			0	0	0
