description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Enhance Item		1				100					2	armo,crf	Z82						useitem				dmg			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	armo,crf	Z83						useitem				dmg%			4	4	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	armo,crf	Z84						useitem				dmg-fire			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	armo,crf	Z85						useitem				dmg-cold			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	armo,crf	Z86						useitem				dmg-ltng			1	14	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	armo,crf	Z87						useitem				dmg-pois		50	10	20	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z88						useitem				mag%			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z89						useitem				gold%			10	10	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z90						useitem				lifesteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z91						useitem				manasteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z92						useitem				regen-mana			5	5	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z93						useitem				dmg-ac			-10	-10	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z94						useitem				red-dmg			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	armo,crf	Z95						useitem				red-mag			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	Z96						useitem				allskills			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	Z97						useitem				res-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	Z98						useitem				crush			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	Z99						useitem				openwounds			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z00						useitem				deadly			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z01						useitem				sum-ex			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z02						useitem				ext-att			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z03						useitem				ext-missile			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z04						useitem				res-fire-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z05						useitem				res-cold-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z06						useitem				res-ltng-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z07						useitem				res-pois-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z08						useitem				pierce-fire			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z09						useitem				pierce-cold			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z10						useitem				pierce-ltng			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z11						useitem				pierce-pois			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z12						useitem				pierce-immunity-cold			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z13						useitem				pierce-immunity-fire			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z14						useitem				pierce-immunity-light			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z15						useitem				pierce-immunity-poison			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z16						useitem				pierce-immunity-damage			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z17						useitem				pierce-immunity-magic			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	armo,crf	z18						useitem				pierce-immunity-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
																																																																																																										0
																																																																																																										0
---Enhance Quivers---																																																																																																										0
Enhance Item		1				100					2	bowq,mag	Z60						useitem				str			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z61						useitem				dex			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z62						useitem				vit			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z63						useitem				enr			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z64						useitem				move			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z65						useitem				balance			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z66						useitem				blockrate			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z67						useitem				swing			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z68						useitem				cast			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z69						useitem				sum-hp			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z70						useitem				sum-dmg			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z71						useitem				sum-cr			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z72						useitem				incant-dur			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z73						useitem				incant-rad			1	1	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z74						useitem				res-curse-len			3	3	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z75						useitem				block			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z76						useitem				res-fire			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z77						useitem				res-cold			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z78						useitem				res-ltng			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z79						useitem				res-pois			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z80						useitem				att%			5	5	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z81						useitem				att			150	150	levelreq			4	4	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z82						useitem				dmg			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z83						useitem				dmg%			4	4	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z84						useitem				dmg-fire			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z85						useitem				dmg-cold			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z86						useitem				dmg-ltng			1	14	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,mag	Z87						useitem				dmg-pois		50	10	20	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z88						useitem				mag%			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z89						useitem				gold%			10	10	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z90						useitem				lifesteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z91						useitem				manasteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z92						useitem				regen-mana			5	5	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z93						useitem				dmg-ac			-10	-10	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z94						useitem				red-dmg			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,mag	Z95						useitem				red-mag			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	Z96						useitem				allskills			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	Z97						useitem				res-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	Z98						useitem				crush			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	Z99						useitem				openwounds			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z00						useitem				deadly			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z01						useitem				sum-ex			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z02						useitem				ext-att			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z03						useitem				ext-missile			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z04						useitem				res-fire-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z05						useitem				res-cold-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z06						useitem				res-ltng-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z07						useitem				res-pois-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z08						useitem				pierce-fire			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z09						useitem				pierce-cold			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z10						useitem				pierce-ltng			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z11						useitem				pierce-pois			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z12						useitem				pierce-immunity-cold			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z13						useitem				pierce-immunity-fire			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z14						useitem				pierce-immunity-light			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z15						useitem				pierce-immunity-poison			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z16						useitem				pierce-immunity-damage			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z17						useitem				pierce-immunity-magic			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,mag	z18						useitem				pierce-immunity-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z60						useitem				str			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z61						useitem				dex			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z62						useitem				vit			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z63						useitem				enr			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z64						useitem				move			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z65						useitem				balance			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z66						useitem				blockrate			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z67						useitem				swing			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z68						useitem				cast			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z69						useitem				sum-hp			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z70						useitem				sum-dmg			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z71						useitem				sum-cr			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z72						useitem				incant-dur			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z73						useitem				incant-rad			1	1	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z74						useitem				res-curse-len			3	3	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z75						useitem				block			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z76						useitem				res-fire			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z77						useitem				res-cold			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z78						useitem				res-ltng			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z79						useitem				res-pois			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z80						useitem				att%			5	5	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z81						useitem				att			150	150	levelreq			4	4	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z82						useitem				dmg			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z83						useitem				dmg%			4	4	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z84						useitem				dmg-fire			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z85						useitem				dmg-cold			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z86						useitem				dmg-ltng			1	14	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,rar	Z87						useitem				dmg-pois		50	10	20	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z88						useitem				mag%			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z89						useitem				gold%			10	10	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z90						useitem				lifesteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z91						useitem				manasteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z92						useitem				regen-mana			5	5	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z93						useitem				dmg-ac			-10	-10	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z94						useitem				red-dmg			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,rar	Z95						useitem				red-mag			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	Z96						useitem				allskills			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	Z97						useitem				res-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	Z98						useitem				crush			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	Z99						useitem				openwounds			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z00						useitem				deadly			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z01						useitem				sum-ex			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z02						useitem				ext-att			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z03						useitem				ext-missile			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z04						useitem				res-fire-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z05						useitem				res-cold-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z06						useitem				res-ltng-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z07						useitem				res-pois-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z08						useitem				pierce-fire			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z09						useitem				pierce-cold			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z10						useitem				pierce-ltng			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z11						useitem				pierce-pois			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z12						useitem				pierce-immunity-cold			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z13						useitem				pierce-immunity-fire			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z14						useitem				pierce-immunity-light			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z15						useitem				pierce-immunity-poison			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z16						useitem				pierce-immunity-damage			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z17						useitem				pierce-immunity-magic			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,rar	z18						useitem				pierce-immunity-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z60						useitem				str			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z61						useitem				dex			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z62						useitem				vit			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z63						useitem				enr			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z64						useitem				move			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z65						useitem				balance			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z66						useitem				blockrate			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z67						useitem				swing			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z68						useitem				cast			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z69						useitem				sum-hp			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z70						useitem				sum-dmg			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z71						useitem				sum-cr			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z72						useitem				incant-dur			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z73						useitem				incant-rad			1	1	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z74						useitem				res-curse-len			3	3	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z75						useitem				block			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z76						useitem				res-fire			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z77						useitem				res-cold			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z78						useitem				res-ltng			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z79						useitem				res-pois			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z80						useitem				att%			5	5	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z81						useitem				att			150	150	levelreq			4	4	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z82						useitem				dmg			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z83						useitem				dmg%			4	4	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z84						useitem				dmg-fire			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z85						useitem				dmg-cold			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z86						useitem				dmg-ltng			1	14	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	bowq,set	Z87						useitem				dmg-pois		50	10	20	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z88						useitem				mag%			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z89						useitem				gold%			10	10	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z90						useitem				lifesteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z91						useitem				manasteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z92						useitem				regen-mana			5	5	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z93						useitem				dmg-ac			-10	-10	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z94						useitem				red-dmg			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	bowq,set	Z95						useitem				red-mag			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,set	Z96						useitem				allskills			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,set	Z97						useitem				res-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,set	Z98						useitem				crush			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,set	Z99						useitem				openwounds			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,set	z00						useitem				deadly			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	bowq,set	z01						useitem				sum-ex			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
