Treasure Class	*MobType	*MobLvl	*Act	firstLadderSeason	lastLadderSeason	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Eldritch (N)							62	-4	800	800	1024	600		Act 5 (N) Uitem A	3	Act 5 (N) Cpot A	1																						0
Eldritch (H)							90	-4	800	800	1024	600		Act 5 (H) Uitem A	3	Act 5 (H) Cpot A	1																						0
Eyeback							34	-4	800	800	1024	600		Act 5 Uitem A	2	Act 5 Cpot A	2																						0
Eyeback (N)							62	-4	800	800	1024	600		Act 5 (N) Uitem A	3	Act 5 (N) Cpot A	1																						0
Eyeback (H)							90	-4	800	800	1024	600		Act 5 (H) Uitem A	3	Act 5 (H) Cpot A	1																						0
Thresh Socket							38	-5	800	800	1024	600		Act 5 Uitem C	3	Act 5 Cpot C	2																						0
Thresh Socket (N)							66	-5	800	800	1024	600		Act 5 (N) Uitem C	3	Act 5 (N) Cpot C	1																						0
Thresh Socket (H)							96	-5	800	800	1024	600		Act 5 (H) Uitem C	3	Act 5 (H) Cpot C	1																						0
Pindleskin							38	-4	800	800	1024	600		Act 5 Uitem C	2	Act 5 Cpot C	2																						0
Pindleskin (N)							66	-5	800	800	1024	600		Act 5 (N) Uitem C	3	Act 5 (N) Cpot C	1																						0
Pindleskin (H)							96	-6	800	800	1024	600		Act 5 (H) Uitem C	4	Act 5 (H) Cpot C	1																						0
Snapchip							38	-4	800	800	1024	600		Act 5 Uitem C	2	Act 5 Cpot C	2																						0
Snapchip (N)							66	-5	800	800	1024	600		Act 5 (N) Uitem C	4	Act 5 (N) Cpot C	1																						0
Snapchip (H)							96	-5	800	800	1024	600		Act 5 (H) Uitem C	4	Act 5 (H) Cpot C	1																						0
Anodized							38	-4	800	800	1024	600		Act 5 Uitem C	2	Act 5 Cpot C	2																						0
Anodized (N)							66	-4	800	800	1024	600		Act 5 (N) Uitem C	3	Act 5 (N) Cpot C	1																						0
Anodized (H)							96	-4	800	800	1024	600		Act 5 (H) Uitem C	3	Act 5 (H) Cpot C	1																						0
Vinvear							34	-4	800	800	1024	600		Act 5 Uitem A	2	Act 5 Cpot A	2																						0
Vinvear (N)							62	-4	800	800	1024	600		Act 5 (N) Uitem A	3	Act 5 (N) Cpot A	1																						0
Vinvear (H)							90	-4	800	800	1024	600		Act 5 (H) Uitem A	3	Act 5 (H) Cpot A	1																						0
Sharp Tooth							36	-4	800	800	1024	600		Act 5 Uitem B	2	Act 5 Cpot B	2																						0
Sharp Tooth (N)							63	-5	800	800	1024	600		Act 5 (N) Uitem B	4	Act 5 (N) Cpot B	1																						0
Sharp Tooth (H)							93	-4	800	800	1024	600		Act 5 (H) Uitem B	3	Act 5 (H) Cpot B	1																						0
Magma Torquer							38	-4	800	800	1024	600		Act 5 Uitem C	2	Act 5 Cpot C	2																						0
Magma Torquer (N)							66	-4	800	800	1024	600		Act 5 (N) Uitem C	3	Act 5 (N) Cpot C	1																						0
Magma Torquer (H)							96	-4	800	800	1024	600		Act 5 (H) Uitem C	3	Act 5 (H) Cpot C	1																						0
Blaze Ripper							38	-4	800	800	1024	600		Act 5 Uitem C	2	Act 5 Cpot C	2																						0
Blaze Ripper (N)							66	-4	800	800	1024	600		Act 5 (N) Uitem C	3	Act 5 (N) Cpot C	1																						0
Blaze Ripper (H)							96	-4	800	800	1024	600		Act 5 (H) Uitem C	3	Act 5 (H) Cpot C	1																						0
Frozenstein							38	-5	800	800	1024	600		Act 5 Uitem C	2	Act 5 Cpot C	2																						0
Frozenstein (N)							66	-5	800	800	1024	600		Act 5 (N) Uitem C	3	Act 5 (N) Cpot C	1																						0
Frozenstein (H)							96	-6	800	800	1024	600		Act 5 (H) Uitem C	4	Act 5 (H) Cpot C	1																						0
Colenzo							36	-2	800	800	1024	600		Act 5 Citem C	1	Act 5 Cpot C	1																						0
Colenzo (N)							62	-4	800	800	1024	600		Act 5 (N) Citem C	3	Act 5 (N) Cpot C	1																						0
Colenzo (H)							85	-3	800	800	1024	600		Act 5 (H) Citem C	2	Act 5 (H) Cpot C	1																						0
Achmel							36	-2	800	800	1024	600		Act 5 Citem C	1	Act 5 Cpot C	1																						0
Achmel (N)							62	-3	800	800	1024	600		Act 5 (N) Citem C	2	Act 5 (N) Cpot C	1																						0
Achmel (H)							85	-3	800	800	1024	600		Act 5 (H) Citem C	2	Act 5 (H) Cpot C	1																						0
Bartuc							36	-3	800	800	1024	600		Act 5 Citem C	2	Act 5 Cpot C	1																						0
Bartuc (N)							62	-3	800	800	1024	600		Act 5 (N) Citem C	2	Act 5 (N) Cpot C	1																						0
Bartuc (H)							85	-4	800	800	1024	600		Act 5 (H) Citem C	3	Act 5 (H) Cpot C	1																						0
Ventar							36	-2	800	800	1024	600		Act 5 Citem C	1	Act 5 Cpot C	1																						0
Ventar (N)							62	-4	800	800	1024	600		Act 5 (N) Citem C	3	Act 5 (N) Cpot C	1																						0
Ventar (H)							85	-3	800	800	1024	600		Act 5 (H) Citem C	2	Act 5 (H) Cpot C	1																						0
Lister							36	-2	800	800	1024	600		Act 5 Citem C	1	Act 5 Cpot C	1																						0
Lister (N)							62	-3	800	800	1024	600		Act 5 (N) Citem C	2	Act 5 (N) Cpot C	1																						0
Lister (H)							85	-3	800	800	1024	600		Act 5 (H) Citem C	2	Act 5 (H) Cpot C	1																						0
Enderaku								5	993	725	1024	600		Act 5 (H) Equip C	40	Act 5 (H) Good	10	Trial Scroll Group D	4	RMD Loot A	4	Runes 18	4	b64	5	All Codexes	8	shards	4										0
ForsakenIzual								5	993	725	1024	600		Act 5 (H) Equip C	30	Act 5 (H) Good	10	Trial Scroll Group D	5	RMD Loot A	5	Runes 18	5	b64	5	All Codexes	15	shards	5										0
Gurka								5	993	725	1024	600		Act 5 (H) Equip C	30	Act 5 (H) Good	10	Trial Scroll Group D	5	RMD Loot A	5	Runes 18	5	b64	5	All Codexes	15	shards	5										0
Deddomer								5	993	725	1024	400		Act 5 (H) Equip C	30	Act 5 (H) Good	10	Trial Scroll Group D	5	RMD Loot A	5	Runes 18	5	b64	5	All Codexes	15	shards	5										0
Majiko								5	993	725	1024	1024		Act 5 (H) Equip C	40	Act 5 (H) Good	10	Trial Scroll Group D	4	RMD Loot A	4	Runes 18	4	b64	5	All Codexes	8	shards	4										0
Rakuranth								5	993	725	1024	400		Act 5 (H) Equip C	40	Act 5 (H) Good	10	Trial Scroll Group D	4	RMD Loot A	4	Runes 18	4	b64	5	All Codexes	8	shards	4										0
Anuburak								5	993	725	1024	1024		Act 5 (H) Equip C	30	Act 5 (H) Good	10	Trial Scroll Group D	5	RMD Loot A	5	Runes 18	5	b64	5	All Codexes	15	shards	5										0
Syndred								5	993	725	1024	1024		Act 5 (H) Equip C	30	Act 5 (H) Good	10	Trial Scroll Group D	5	RMD Loot A	5	Runes 18	5	b64	5	All Codexes	15	shards	5										0
Grizzlepaw								5	800	500	1024	1024		Act 5 (H) Equip C	40	Act 5 (H) Good	10	Trial Scroll Group D	4	RMD Loot A	4	Runes 18	4	b64	5	All Codexes	8	shards	4										0
Kelthir								5	800	500	1024	1024		Act 5 (H) Equip C	40	Act 5 (H) Good	10	Trial Scroll Group D	4	RMD Loot A	4	Runes 18	4	b64	5	All Codexes	8	shards	4										0
skeleton1	undead	2	1					1						Act 1 H2H A	1																								0
skeleton1c	undead	2	1					1						Act 1 Champ A	1																								0
skeleton1u	undead	2	1					1						Act 1 Unique A	1																								0
skeleton1(N)	undead	37	1					1						Act 1 (N) H2H A	1																								0
skeleton1c(N)	undead	37	1					1						Act 1 (N) Champ A	1																								0
skeleton1u(N)	undead	37	1					1						Act 1 (N) Unique A	1																								0
skeleton1(H)	undead	68	1					1						Act 1 (H) H2H A	1																								0
skeleton1c(H)	undead	68	1					1						Act 1 (H) Champ A	1																								0
skeleton1u(H)	undead	68	1					1						Act 1 (H) Unique A	1																								0
skeleton2	undead	6	1					1						Act 1 H2H B	1																								0
skeleton2c	undead	6	1					1						Act 1 Champ B	1																								0
skeleton2u	undead	6	1					1						Act 1 Unique B	1																								0
skeleton2(N)	undead	38						1						Act 1 H2H B	1																								0
skeleton2c(N)	undead	38	1					1						Act 1 (N) Champ B	1																								0
skeleton2u(N)	undead	37	1					1						Act 1 (N) Unique B	1																								0
skeleton2(H)	undead	69	1					1						Act 1 (H) H2H B	1																								0
skeleton2c(H)	undead	69	1					1						Act 1 (H) Champ B	1																								0
skeleton2u(H)	undead	69	1					1						Act 1 (H) Unique B	1																								0
skeleton3	undead	7	1					1						Act 1 H2H B	1																								0
skeleton3c	undead	7	1					1						Act 1 Champ B	1																								0
skeleton3u	undead	7	1					1						Act 1 Unique B	1																								0
skeleton3(N)	undead	39	1					1						Act 1 (N) H2H B	1																								0
skeleton3c(N)	undead	39	1					1						Act 1 (N) Champ B	1																								0
skeleton3u(N)	undead	39	1					1						Act 1 (N) Unique B	1																								0
skeleton3(H)	undead	85	1					1						Act 1 (H) H2H B	1																								0
skeleton3c(H)	undead	85	1					1						Act 1 (H) Champ B	1																								0
skeleton3u(H)	undead	85	1					1						Act 1 (H) Unique B	1																								0
zombie1	undead	1	1					1						Act 1 H2H A	1																								0
zombie1c	undead	1	1					1						Act 1 Champ A	1																								0
zombie1u	undead	1	1					1						Act 1 Unique A	1																								0
zombie1(N)	undead	36	1					1						Act 1 (N) H2H A	1																								0
zombie1c(N)	undead	36	1					1						Act 1 (N) Champ A	1																								0
zombie1u(N)	undead	36	1					1						Act 1 (N) Unique A	1																								0
zombie1(H)	undead	67	1					1						Act 1 (H) H2H A	1																								0
zombie1c(H)	undead	67	1					1						Act 1 (H) Champ A	1																								0
zombie1u(H)	undead	69	1					1						Act 1 (H) Unique A	1																								0
zombie2	undead	2	1					1						Act 1 H2H A	1																								0
zombie2c	undead	2	1					1						Act 1 Champ A	1																								0
zombie2u	undead	2	1					1						Act 1 Unique A	1																								0
zombie2(N)	undead	37	1					1						Act 1 (N) H2H A	1																								0
zombie2c(N)	undead	37	1					1						Act 1 (N) Champ A	1																								0
zombie2u(N)	undead	37	1					1						Act 1 (N) Unique A	1																								0
zombie2(H)	undead	68	1					1						Act 1 (H) H2H A	1																								0
zombie2c(H)	undead	68	1					1						Act 1 (H) Champ A	1																								0
zombie2u(H)	undead	68	1					1						Act 1 (H) Unique A	1																								0
bighead1	demon	12	1					1						Act 1 Cast C	1																								0
bighead1c	demon	12	1					1						Act 1 Champ C	1																								0
bighead1u	demon	12	1					1						Act 1 Unique C	1																								0
bighead1(N)	demon	43	1					1						Act 1 (N) Cast C	1																								0
bighead1c(N)	demon	43	1					1						Act 1 (N) Champ C	1																								0
bighead1u(N)	demon	43	1					1						Act 1 (N) Unique C	1																								0
bighead1(H)	demon	73	1					1						Act 1 (H) Cast C	1																								0
bighead1c(H)	demon	73	1					1						Act 1 (H) Champ C	1																								0
bighead1u(H)	demon	73	1					1						Act 1 (H) Unique C	1																								0
bighead2	demon	11	1					1						Act 1 Cast C	1																								0
bighead2c	demon	11	1					1						Act 1 Champ C	1																								0
bighead2u	demon	11	1					1						Act 1 Unique C	1																								0
bighead2(N)	demon	42	1					1						Act 1 (N) Cast C	1																								0
bighead2c(N)	demon	42	1					1						Act 1 (N) Champ C	1																								0
bighead2u(N)	demon	42	1					1						Act 1 (N) Unique C	1																								0
bighead2(H)	demon	72	1					1						Act 1 (H) Cast C	1																								0
bighead2c(H)	demon	72	1					1						Act 1 (H) Champ C	1																								0
bighead2u(H)	demon	72	1					1						Act 1 (H) Unique C	1																								0
bighead3	demon	5	1					1						Act 1 Cast B	1																								0
bighead3c	demon	5	1					1						Act 1 Champ B	1																								0
bighead3u	demon	5	1					1						Act 1 Unique B	1																								0
bighead3(N)	demon	37	1					1						Act 1 (N) Cast B	1																								0
bighead3c(N)	demon	37	1					1						Act 1 (N) Champ B	1																								0
bighead3u(N)	demon	37	1					1						Act 1 (N) Unique B	1																								0
bighead3(H)	demon	69	1					1						Act 1 (H) Cast B	1																								0
bighead3c(H)	demon	69	1					1						Act 1 (H) Champ B	1																								0
bighead3u(H)	demon	69	1					1						Act 1 (H) Unique B	1																								0
bighead4	demon	8	1					1						Act 1 Cast B	1																								0
bighead4c	demon	8	1					1						Act 1 Champ B	1																								0
bighead4u	demon	8	1					1						Act 1 Unique B	1																								0
bighead4(N)	demon	40	1					1						Act 1 (N) Cast B	1																								0
bighead4c(N)	demon	40	1					1						Act 1 (N) Champ B	1																								0
bighead4u(N)	demon	40	1					1						Act 1 (N) Unique B	1																								0
bighead4(H)	demon	70	1					1						Act 1 (H) Cast B	1																								0
bighead4c(H)	demon	70	1					1						Act 1 (H) Champ B	1																								0
bighead4u(H)	demon	70	1					1						Act 1 (H) Unique B	1																								0
foulcrow1	natural	4	1					1						Act 1 Cast A	1																								0
foulcrow1c	natural	4	1					1						Act 1 Champ A	1																								0
foulcrow1u	natural	4	1					1						Act 1 Unique A	1																								0
foulcrow1(N)	natural	37	1					1						Act 1 (N) Cast A	1																								0
foulcrow1c(N)	natural	37	1					1						Act 1 (N) Champ A	1																								0
foulcrow1u(N)	natural	37	1					1						Act 1 (N) Unique A	1																								0
foulcrow1(H)	natural	68	1					1						Act 1 (H) Cast A	1																								0
foulcrow1c(H)	natural	68	1					1						Act 1 (H) Champ A	1																								0
foulcrow1u(H)	natural	68	1					1						Act 1 (H) Unique A	1																								0
foulcrow2	natural	6	1					1						Act 1 Cast B	1																								0
foulcrow2c	natural	6	1					1						Act 1 Champ B	1																								0
foulcrow2u	natural	6	1					1						Act 1 Unique B	1																								0
foulcrow2(N)	natural	38	1					1						Act 1 (N) Cast B	1																								0
foulcrow2c(N)	natural	38	1					1						Act 1 (N) Champ B	1																								0
foulcrow2u(N)	natural	37	1					1						Act 1 (N) Unique B	1																								0
foulcrow2(H)	natural	69	1					1						Act 1 (H) Cast B	1																								0
foulcrow2c(H)	natural	69	1					1						Act 1 (H) Champ B	1																								0
foulcrow2u(H)	natural	69	1					1						Act 1 (H) Unique B	1																								0
fallen1	demon	1	1					-6						K01	1																								0
fallen1c	demon	1	1					1						Act 1 Champ A	1																								0
fallen1u	demon	1	1					1						Act 1 Unique A	1																								0
fallen1(N)	demon	36	1					1						Act 1 (N) H2H A	1																								0
fallen1c(N)	demon	36	1					1						Act 1 (N) Champ A	1																								0
fallen1u(N)	demon	36	1					1						Act 1 (N) Unique A	1																								0
fallen1(H)	demon	67	1					1						Act 1 (H) H2H A	1																								0
fallen1c(H)	demon	67	1					1						Act 1 (H) Champ A	1																								0
fallen1u(H)	demon	67	1					1						Act 1 (H) Unique A	1																								0
fallen2	demon	5	1					1						Act 1 H2H B	1																								0
fallen2c	demon	5	1					1						Act 1 Champ B	1																								0
fallen2u	demon	5	1					1						Act 1 Unique B	1																								0
fallen2(N)	demon	38	1					1						Act 1 (N) H2H B	1																								0
fallen2c(N)	demon	38	1					1						Act 1 (N) Champ B	1																								0
fallen2u(N)	demon	38	1					1						Act 1 (N) Unique B	1																								0
fallen2(H)	demon	68	1					1						Act 1 (H) H2H B	1																								0
fallen2c(H)	demon	68	1					1						Act 1 (H) Champ B	1																								0
fallen2u(H)	demon	68	1					1						Act 1 (H) Unique B	1																								0
fallen3	demon	7	1					1						Act 1 H2H B	1																								0
fallen3c	demon	7	1					1						Act 1 Champ B	1																								0
fallen3u	demon	7	1					1						Act 1 Unique B	1																								0
fallen3(N)	demon	39	1					1						Act 1 (N) H2H B	1																								0
fallen3c(N)	demon	39	1					1						Act 1 (N) Champ B	1																								0
fallen3u(N)	demon	39	1					1						Act 1 (N) Unique B	1																								0
fallen3(H)	demon	85	1					1						Act 1 (H) H2H B	1																								0
fallen3c(H)	demon	85	1					1						Act 1 (H) Champ B	1																								0
fallen3u(H)	demon	86	1					1						Act 1 (H) Unique B	1																								0
fallen4	demon	10	1					1						Act 1 H2H C	1																								0
fallen4c	demon	10	1					1						Act 1 Champ C	1																								0
fallen4u	demon	10	1					1						Act 1 Unique C	1																								0
fallen4(N)	demon	41	1					1						Act 1 (N) H2H C	1																								0
fallen4c(N)	demon	41	1					1						Act 1 (N) Champ C	1																								0
fallen4u(N)	demon	41	1					1						Act 1 (N) Unique C	1																								0
fallen4(H)	demon	71	1					1						Act 1 (H) H2H C	1																								0
fallen4c(H)	demon	71	1					1						Act 1 (H) Champ C	1																								0
fallen4u(H)	demon	71	1					1						Act 1 (H) Unique C	1																								0
brute1	natural	2	1					1						Act 1 H2H A	1																								0
brute1c	natural	2	1					1						Act 1 Champ A	1																								0
brute1u	natural	2	1					1						Act 1 Unique A	1																								0
brute1(N)	natural	36	1					1						Act 1 (N) H2H A	1																								0
brute1c(N)	natural	36	1					1						Act 1 (N) Champ A	1																								0
brute1u(N)	natural	36	1					1						Act 1 (N) Unique A	1																								0
brute1(H)	natural	68	1					1						Act 1 (H) H2H A	1																								0
brute1c(H)	natural	68	1					1						Act 1 (H) Champ A	1																								0
brute1u(H)	natural	68	1					1						Act 1 (H) Unique A	1																								0
brute2	natural	5	1					1						Act 1 H2H B	1																								0
brute2c	natural	5	1					1						Act 1 Champ B	1																								0
brute2u	natural	5	1					1						Act 1 Unique B	1																								0
brute2(N)	natural	38	1					1						Act 1 (N) H2H B	1																								0
brute2c(N)	natural	38	1					1						Act 1 (N) Champ B	1																								0
brute2u(N)	natural	38	1					1						Act 1 (N) Unique B	1																								0
brute2(H)	natural	69	1					1						Act 1 (H) H2H B	1																								0
brute2c(H)	natural	69	1					1						Act 1 (H) Champ B	1																								0
brute2u(H)	natural	69	1					1						Act 1 (H) Unique B	1																								0
brute3	natural	9	1					1						Act 1 H2H C	1																								0
brute3c	natural	9	1					1						Act 1 Champ C	1																								0
brute3u	natural	9	1					1						Act 1 Unique C	1																								0
brute3(N)	natural	40	1					1						Act 1 (N) H2H C	1																								0
brute3c(N)	natural	40	1					1						Act 1 (N) Champ C	1																								0
brute3u(N)	natural	40	1					1						Act 1 (N) Unique C	1																								0
brute3(H)	natural	70	1					1						Act 1 (H) H2H C	1																								0
brute3c(H)	natural	70	1					1						Act 1 (H) Champ C	1																								0
brute3u(H)	natural	70	1					1						Act 1 (H) Unique C	1																								0
wraith1	undead	7	1					1						Act 1 Wraith B	1																								0
wraith1c	undead	7	1					1						Act 1 Champ B	1																								0
wraith1u	undead	7	1					1						Act 1 Unique B	1																								0
wraith1(N)	undead	38	1					1						Act 1 (N) Wraith B	1																								0
wraith1c(N)	undead	38	1					1						Act 1 (N) Champ B	1																								0
wraith1u(N)	undead	38	1					1						Act 1 (N) Unique B	1																								0
wraith1(H)	undead	75	1					1						Act 1 (H) Wraith B	1																								0
wraith1c(H)	undead	75	1					1						Act 1 (H) Champ B	1																								0
wraith1u(H)	undead	75	1					1						Act 1 (H) Unique B	1																								0
wraith2	undead	10	1					1						Act 1 Wraith C	1																								0
wraith2c	undead	10	1					1						Act 1 Champ C	1																								0
wraith2u	undead	10	1					1						Act 1 Unique C	1																								0
wraith2(N)	undead	41	1					1						Act 1 (N) Wraith C	1																								0
wraith2c(N)	undead	41	1					1						Act 1 (N) Champ C	1																								0
wraith2u(N)	undead	41	1					1						Act 1 (N) Unique C	1																								0
wraith2(H)	undead	71	1					1						Act 1 (H) Wraith C	1																								0
wraith2c(H)	undead	71	1					1						Act 1 (H) Champ C	1																								0
wraith2u(H)	undead	71	1					1						Act 1 (H) Unique C	1																								0
corruptrogue1	humanoid	2	1					1						Act 1 H2H A	1																								0
corruptrogue1c	humanoid	2	1					1						Act 1 Champ A	1																								0
corruptrogue1u	humanoid	2	1					1						Act 1 Unique A	1																								0
corruptrogue1(N)	humanoid	36	1					1						Act 1 (N) H2H A	1																								0
corruptrogue1c(N)	humanoid	36	1					1						Act 1 (N) Champ A	1																								0
corruptrogue1u(N)	humanoid	36	1					1						Act 1 (N) Unique A	1																								0
corruptrogue1(H)	humanoid	67	1					1						Act 1 (H) H2H A	1																								0
corruptrogue1c(H)	humanoid	67	1					1						Act 1 (H) Champ A	1																								0
corruptrogue1u(H)	humanoid	67	1					1						Act 1 (H) Unique A	1																								0
corruptrogue2	humanoid	5	1					1						Act 1 H2H B	1																								0
corruptrogue2c	humanoid	5	1					1						Act 1 Champ B	1																								0
corruptrogue2u	humanoid	5	1					1						Act 1 Unique B	1																								0
corruptrogue2(N)	humanoid	38	1					1						Act 1 (N) H2H B	1																								0
corruptrogue2c(N)	humanoid	38	1					1						Act 1 (N) Champ B	1																								0
corruptrogue2u(N)	humanoid	38	1					1						Act 1 (N) Unique B	1																								0
corruptrogue2(H)	humanoid	68	1					1						Act 1 (H) H2H B	1																								0
corruptrogue2c(H)	humanoid	68	1					1						Act 1 (H) Champ B	1																								0
corruptrogue2u(H)	humanoid	68	1					1						Act 1 (H) Unique B	1																								0
corruptrogue3	humanoid	8	1					1						Act 1 H2H C	1																								0
corruptrogue3c	humanoid	8	1					1						Act 1 Champ C	1																								0
corruptrogue3u	humanoid	8	1					1						Act 1 Unique C	1																								0
corruptrogue3(N)	humanoid	39	1					1						Act 1 (N) H2H C	1																								0
corruptrogue3c(N)	humanoid	39	1					1						Act 1 (N) Champ C	1																								0
corruptrogue3u(N)	humanoid	39	1					1						Act 1 (N) Unique C	1																								0
corruptrogue3(H)	humanoid	69	1					1						Act 1 (H) H2H C	1																								0
corruptrogue3c(H)	humanoid	69	1					1						Act 1 (H) Champ C	1																								0
corruptrogue3u(H)	humanoid	69	1					1						Act 1 (H) Unique C	1																								0
corruptrogue4	humanoid	9	1					1						Act 1 H2H C	1																								0
corruptrogue4c	humanoid	9	1					1						Act 1 Champ C	1																								0
corruptrogue4u	humanoid	9	1					1						Act 1 Unique C	1																								0
corruptrogue4(N)	humanoid	40	1					1						Act 1 (N) H2H C	1																								0
corruptrogue4c(N)	humanoid	40	1					1						Act 1 (N) Champ C	1																								0
corruptrogue4u(N)	humanoid	40	1					1						Act 1 (N) Unique C	1																								0
corruptrogue4(H)	humanoid	70	1					1						Act 1 (H) H2H C	1																								0
corruptrogue4c(H)	humanoid	70	1					1						Act 1 (H) Champ C	1																								0
corruptrogue4u(H)	humanoid	70	1					1						Act 1 (H) Unique C	1																								0
goatman1	demon	4	1					1						Act 1 H2H A	1																								0
goatman1c	demon	4	1					1						Act 1 Champ A	1																								0
goatman1u	demon	4	1					1						Act 1 Unique A	1																								0
goatman1(N)	demon	37	1					1						Act 1 (N) H2H A	1																								0
goatman1c(N)	demon	37	1					1						Act 1 (N) Champ A	1																								0
goatman1u(N)	demon	37	1					1						Act 1 (N) Unique A	1																								0
goatman1(H)	demon	68	1					1						Act 1 (H) H2H A	1																								0
goatman1c(H)	demon	68	1					1						Act 1 (H) Champ A	1																								0
goatman1u(H)	demon	68	1					1						Act 1 (H) Unique A	1																								0
goatman2	demon	6	1					1						Act 1 H2H B	1																								0
goatman2c	demon	6	1					1						Act 1 Champ B	1																								0
goatman2u	demon	6	1					1						Act 1 Unique B	1																								0
goatman2(N)	demon	38	1					1						Act 1 (N) H2H B	1																								0
goatman2c(N)	demon	38	1					1						Act 1 (N) Champ B	1																								0
goatman2u(N)	demon	38	1					1						Act 1 (N) Unique B	1																								0
goatman2(H)	demon	69	1					1						Act 1 (H) H2H B	1																								0
goatman2c(H)	demon	69	1					1						Act 1 (H) Champ B	1																								0
goatman2u(H)	demon	69	1					1						Act 1 (H) Unique B	1																								0
goatman3	demon	7	1					1						Act 1 H2H B	1																								0
goatman3c	demon	7	1					1						Act 1 Champ B	1																								0
goatman3u	demon	7	1					1						Act 1 Unique B	1																								0
goatman3(N)	demon	38	1					1						Act 1 (N) H2H B	1																								0
goatman3c(N)	demon	38	1					1						Act 1 (N) Champ B	1																								0
goatman3u(N)	demon	38	1					1						Act 1 (N) Unique B	1																								0
goatman3(H)	demon	75	1					1						Act 1 (H) H2H B	1																								0
goatman3c(H)	demon	75	1					1						Act 1 (H) Champ B	1																								0
goatman3u(H)	demon	75	1					1						Act 1 (H) Unique B	1																								0
goatman5	demon	10	1					1						Act 1 H2H C	1																								0
goatman5c	demon	10	1					1						Act 1 Champ C	1																								0
goatman5u	demon	10	1					1						Act 1 Unique C	1																								0
goatman5(N)	demon	40	1					1						Act 1 (N) H2H C	1																								0
goatman5c(N)	demon	40	1					1						Act 1 (N) Champ C	1																								0
goatman5u(N)	demon	40	1					1						Act 1 (N) Unique C	1																								0
goatman5(H)	demon	70	1					1						Act 1 (H) H2H C	1																								0
goatman5c(H)	demon	70	1					1						Act 1 (H) Champ C	1																								0
goatman5u(H)	demon	70	1					1						Act 1 (H) Unique C	1																								0
cr_archer1	humanoid	4	1					1						Act 1 Miss A	1																								0
cr_archer1c	humanoid	4	1					1						Act 1 Champ A	1																								0
cr_archer1u	humanoid	4	1					1						Act 1 Unique A	1																								0
cr_archer1(N)	humanoid	37	1					1						Act 1 (N) Miss A	1																								0
cr_archer1c(N)	humanoid	37	1					1						Act 1 (N) Champ A	1																								0
cr_archer1u(N)	humanoid	37	1					1						Act 1 (N) Unique A	1																								0
cr_archer1(H)	humanoid	68	1					1						Act 1 (H) Miss A	1																								0
cr_archer1c(H)	humanoid	68	1					1						Act 1 (H) Champ A	1																								0
cr_archer1u(H)	humanoid	68	1					1						Act 1 (H) Unique A	1																								0
cr_archer2	humanoid	5	1					1						Act 1 Miss B	1																								0
cr_archer2c	humanoid	5	1					1						Act 1 Champ B	1																								0
cr_archer2u	humanoid	5	1					1						Act 1 Unique B	1																								0
cr_archer2(N)	humanoid	38	1					1						Act 1 (N) Miss B	1																								0
cr_archer2c(N)	humanoid	38	1					1						Act 1 (N) Champ B	1																								0
cr_archer2u(N)	humanoid	38	1					1						Act 1 (N) Unique B	1																								0
cr_archer2(H)	humanoid	69	1					1						Act 1 (H) Miss B	1																								0
cr_archer2c(H)	humanoid	69	1					1						Act 1 (H) Champ B	1																								0
cr_archer2u(H)	humanoid	69	1					1						Act 1 (H) Unique B	1																								0
cr_archer3	humanoid	7	1					1						Act 1 Miss B	1																								0
cr_archer3c	humanoid	7	1					1						Act 1 Champ B	1																								0
cr_archer3u	humanoid	7	1					1						Act 1 Unique B	1																								0
cr_archer3(N)	humanoid	39	1					1						Act 1 (N) Miss B	1																								0
cr_archer3c(N)	humanoid	39	1					1						Act 1 (N) Champ B	1																								0
cr_archer3u(N)	humanoid	39	1					1						Act 1 (N) Unique B	1																								0
cr_archer3(H)	humanoid	83	1					1						Act 1 (H) Miss B	1																								0
cr_archer3c(H)	humanoid	83	1					1						Act 1 (H) Champ B	1																								0
cr_archer3u(H)	humanoid	83	1					1						Act 1 (H) Unique B	1																								0
cr_archer4	humanoid	10	1					1						Act 1 Miss C	1																								0
cr_archer4c	humanoid	10	1					1						Act 1 Champ C	1																								0
cr_archer4u	humanoid	10	1					1						Act 1 Unique C	1																								0
cr_archer4(N)	humanoid	41	1					1						Act 1 (N) Miss C	1																								0
cr_archer4c(N)	humanoid	41	1					1						Act 1 (N) Champ C	1																								0
cr_archer4u(N)	humanoid	41	1					1						Act 1 (N) Unique C	1																								0
cr_archer4(H)	humanoid	72	1					1						Act 1 (H) Miss C	1																								0
cr_archer4c(H)	humanoid	72	1					1						Act 1 (H) Champ C	1																								0
cr_archer4u(H)	humanoid	72	1					1						Act 1 (H) Unique C	1																								0
cr_lancer1	humanoid	2	1					1						Act 1 H2H A	1																								0
cr_lancer1c	humanoid	2	1					1						Act 1 Champ A	1																								0
cr_lancer1u	humanoid	2	1					1						Act 1 Unique A	1																								0
cr_lancer1(N)	humanoid	36	1					1						Act 1 (N) H2H A	1																								0
