index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Nord's Tenderizer	201	100	1			1	1	66	65	7cl	Bough (Druid)		3	5000				D2R_Jank				dmg%		270	330	freeze		2	4	swing		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455																	oskill	CharmSkill	1	1		0
Heaven's Light	202	100	1			1	1	69	61	7sc	mighty scepter		5	5000	cblu	cblu		D2R_Jank				dmg%		250	300	swing		20	20	reduce-ac		33	33	light		3	3	demon-heal		15	20	crush		5	5	sock		1	3	pal		2	3													oskill	CharmSkill	1	1		0
The Redeemer	203	100	1			1	1	80	72	7qs	Seraph Rod		3	5000				D2R_Jank				dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Holy Shock	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120									oskill	CharmSkill	1	1		0
Ironward	204	100	1			1	1	68	60	7ws	caduceus		3	5000	blac	blac		D2R_Jank				dmg%		240	290	slow		25	25	att%		150	200	swing		10	10	dmg-mag		80	240	red-dmg		4	7	dmg		40	85	skilltab	9	2	4	crush		10	10									oskill	CharmSkill	1	1		0
Demonlimb	205	100	1			1	1	71	63	7sp	tyrant club		5	5000	dgrn	dgrn		D2R_Jank				dmg%		180	230	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	20	23	rep-dur	5			dmg-demon		123	123	res-fire		15	20																	oskill	CharmSkill	1	1		0
Stormlash	206	100	1			1	1	70	64	7ma	Reinforced Mace		3	5000	dgry	dgry		D2R_Jank				dmg%		240	300	swing		30	30	hit-skill	CTC_StaticField	15	10	hit-skill	CTC_Tornado	20	18	dmg-ltng		1	473	light-thorns		30	30	crush		5	5	abs-ltng		3	9													oskill	CharmSkill	1	1		0
Baranar's Star	207	100	1			1	1	70	65	7mt	Devil Star		5	5000	lred	lred		D2R_Jank				att%		200	200	dmg%		200	200	dex		15	15	str		15	15	swing		50	50	dur		100	100	dmg-ltng		1	200	dmg-fire		1	200	dmg-cold		1	200									oskill	CharmSkill	1	1		0
Horizon's Tornado	208	100	1			5	1	72	66	7fl	scourge		5	5000	dpur	dpur		D2R_Jank				dmg%		230	280	swing		50	50	slow		20	20	hit-skill	CTC_Tornado	20	15	ease		-20	-20																									oskill	CharmSkill	1	1		0
Schaefer's Hammer	209	100	1			1	1	83	79	7wh	Legendary Mallet		5	5000	lblu	lblu		D2R_Jank				hit-skill	CTC_StaticField	20	10	hp		50	50	att/lvl	16			res-ltng		75	75	swing		20	20	dmg/lvl	16			dmg%		100	130	light		1	1	dmg-ltng		50	200									oskill	CharmSkill	1	1		0
Windhammer	210	100	1			1	1	76	68	7m7	ogre maul (Barb)		5	5000	cblu	cblu		D2R_Jank				dmg%		180	230	crush		10	25	swing		60	60	hit-skill	CTC_Twister	33	22																													oskill	CharmSkill	1	1		0
The Cranium Basher	211	100	1			1	1	85	87	7gm	Thunder Maul (Barb)		5	5000	blac	blac		D2R_Jank				swing		20	20	str		25	25	res-all		25	25	crush		30	30	dmg-norm		20	20	dmg%		200	240	hit-skill	CTC_TearDown	4	5																	oskill	CharmSkill	1	1		0
Vows of Promise	212	100	1			1	1	66	58	7ss	Falcata		5	5000	whit	whit		D2R_Jank				dmg%		150	250	swing		30	45	dmg-fire		45	88	dmg-ltng		1	160	dmg-cold	100	30	60	mana-kill		5	7	heal-kill		5	12																	oskill	CharmSkill	1	1		0
Djinnslayer	213	100	1			1	1	69	61	7sm	ataghan		5	5000	dpur	dpur		D2R_Jank				dmg%		190	240	dmg-fire		250	500	dmg-demon		100	150	att-demon		200	300	abs-ltng		3	7	manasteal		3	6	sock		1	2																	oskill	CharmSkill	1	1		0
Bloodmoon	214	100	1			1	1	73	68	7sb	elegant blade		5	5000	cred	cred		D2R_Jank				dmg%		210	260	lifesteal		10	15	charged	Blood Golem	9	15	heal-kill		7	13	openwounds		10	15																									oskill	CharmSkill	1	1		0
Starward Fencer	215	100	1			1	1	72	68	7fc	Hydra Edge		5	5000	dgld	dgld		D2R_Jank				swing		50	50	dmg-max		30	70	dmg%		230	290	deadly/lvl	2			wounds/lvl	2			dmg-mag		25	155	dmg-fire		50	350	lifesteal		3	10													oskill	CharmSkill	1	1		0
Lightsabre	216	100	1			5	1	66	58	7cr	Phase Blade (Sorc)		5	5000	lblu			D2R_Jank				light		7	7	att-skill	CTC_ChainLightning	5	0	ignore-ac	1	1	1	abs-ltng%		25	25	swing		20	20	dmg-mag		60	120	dmg-ltng		1	200	manasteal		5	7	dmg%		150	200	dmg-norm		10	30					oskill	CharmSkill	1	1		0
Azurewrath	217	100	1			1	1	87	85	7bs	Conquest Sword		5	5000	lgry			D2R_Jank				dmg-mag		250	500	dmg%		230	270	aura	Sanctuary_I	10	13	dmg-cold	250	250	500	swing		30	30	all-stats		5	10	light		3	3	allskills		1	1													oskill	CharmSkill	1	1		0
Frostwind	218	100	1			1	1	78	70	7ls	Cryptic Sword		5	5000	cblu	cblu		D2R_Jank				dmg%		180	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14																	oskill	CharmSkill	1	1		0
Last Legend	219	100	1			1	1	82	72	7wd	Mythical Sword		5	5000				D2R_Jank				str/lvl	4			skill	Faithful Follower	1	3	dmg%		250	325	oskill	Chance for Glory	2	3	sock		2	2	sum-dmg		150	150	regen		20	20	regen-mana		80	200	pal		2	3	mana-kill		3	10					oskill	CharmSkill	1	1		0
Oashi	220	100	1			1	1	75	68	72h	Shinogi (Assassin)		5	5000				D2R_Jank				dmg%		250	250	dmg-max		50	100	swing		60	60	move		30	30	skill	Weapon Block	5	5	hit-skill	Static Field	5	8	charge-noconsume	25	35																		oskill	CharmSkill	1	1		0
Gleam Rod	221	100	1			1	1	85	68	7cm	Highland Blade		5	5000				D2R_Jank				splash	Splash	100	1	aura	ReduceMagResist	15	20	dmg-mag		200	425	dmg%		200	200	hidden-vit		-500	-500	swing		40	40	crush		20	20	lifesteal		6	6													oskill	CharmSkill	1	1		0
Flamebellow	222	100	1			1	1	79	71	7gs	balrog blade		5	5000	cred	cred		D2R_Jank				dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	CTC_Firestorm	4	12	str		10	20	vit		5	10	oskill	Inferno	12	18													oskill	CharmSkill	1	1		0
Doombringer	223	100	1			1	1	75	69	7b7	Champion Sword		5	5000	dred	dred		D2R_Jank				hp%		20	20	dmg%		180	250	att%		40	40	dmg-norm		30	100	hit-skill	CTC_Weaken	8	3	lifesteal		5	7																					oskill	CharmSkill	1	1		0
Burning Bane	224	100	1			1	1	83	79	7fb	Colossal Sword		5	5000				D2R_Jank				aura	ReduceFireResist	15	20	dmg-fire		250	400	dmg%		300	300	hit-skill	Ignite	50	10	hidden-vit		-500	-500	deadly		15	15	swing		50	50	move		20	20													oskill	CharmSkill	1	1		0
The Grandfather	225	100	1			1	1	85	81	7gd	Colossus Blade		5	5000	lyel	lyel		D2R_Jank				all-stats		20	20	att%		50	50	hp		80	80	dmg/lvl	20			dmg%		250	350	aura	ReducePhysResist	5	15	swing		30	30																	oskill	CharmSkill	1	1		0
Wizardspike	226	100	1			1	1	69	61	7dg	Bone Knife		5	5000	lgry	lgry		D2R_Jank				mana/lvl	16			regen-mana		15	15	mana%		15	15	res-all		75	75	cast		50	50	ease		-50	-50																					oskill	CharmSkill	1	1		0
Rapid Strike	227	100	1			1	1	72	64	7di	Mithral Point		5	5000				D2R_Jank				dmg%		333	333	swing		50	50	move		40	40	dmg		60	60	deadly		25	25	heal-perhit		9	9																					oskill	CharmSkill	1	1		0
Fleshripper	228	100	1			1	1	76	68	7kr	fanged knife (Necro)		5	5000	dred	dred		D2R_Jank				dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		10	10	openwounds		5	20	deadly		10	10	slow		20	20	oskill	PatientZero	6	10													oskill	CharmSkill	1	1		0
Ghostflame	229	100	1			1	1	70	62	7bl	legend spike (necro)		5	5000	cblu	cblu		D2R_Jank				dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	manasteal		10	15	ethereal		1	1	light		2	2	indestruct		1	1																	oskill	CharmSkill	1	1		0
Sentinels Call	230	100	1			1	1	56	48	7tk	Flying Knife		5	5000				D2R_Jank				dmg-norm		60	85	dmg%		200	275	skill	Blade Fury	3	5	skill	Death Sentry	3	3	skill	Blade Shield	3	3	swing		30	50	heal-perhit		4	4	rep-quant	99															oskill	CharmSkill	1	1		0
Gimmershred	231	100	1			1	1	78	70	7ta	flying axe (Barb)		5	5000	lgrn			D2R_Jank				dmg%		160	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	move		20	20	swing		30	30	rep-quant	99																			oskill	CharmSkill	1	1		0
Warshrike	232	100	1			1	1	83	75	7bk	winged knife (Assassin)		5	5000	bwht	bwht		D2R_Jank				dmg%		200	250	pierce		50	50	swing		30	30	deadly		25	25	rep-quant	99			hit-skill	CTC_Nova	25	9																					oskill	CharmSkill	1	1		0
Lacerator	233	100	1			1	1	76	68	7b8	winged axe (Barb)		5	5000	blac	blac		D2R_Jank				dmg%		150	210	rep-quant	99			swing		30	30	noheal		1	1	openwounds		20	30	howl		64	64	hit-skill	CTC_TearDown	33	3																	oskill	CharmSkill	1	1		0
Contemplation	234	100	1			1	1	68	60	7ja	Hyperion Javelin		5	5000				D2R_Jank				dmg%		290	350	allskills		2	3	dmg-ltng		1	170	dmg-cold	150	90	350	dmg-mag		150	160	blockrate		20	20	att%		60	60	swing		50	50	str		40	60	rep-quant	99							oskill	CharmSkill	1	1		0
Main Hand	235	100	1			1	1	68	60	7pi	Stygian Pilum		5	5000				D2R_Jank				dmg%		260	350	ignore-ac		1	1	openwounds		10	30	dmg-throw		50	60	rep-quant	99			crush		10	10	swing		40	40	bar		2	2	move		20	20									oskill	CharmSkill	1	1		0
Demon's Arch	236	100	1			1	1	76	68	7s7	balrog spear		5	5000	cred	cred		D2R_Jank				dmg%		160	210	dmg-fire		232	323	lifesteal		6	12	rep-quant	99			swing		30	30	dmg-ltng		23	333																					oskill	CharmSkill	1	1		0
Wraithflight	237	100	1			1	1	84	76	7gl	ghost glaive		5	5000	dblu	dblu		D2R_Jank				dmg%		150	190	rep-quant	99			lifesteal		9	13	mana-kill		15	15	ethereal		1	1	indestruct		1	1	dmg		200	250	bar		2	3	dmg%		200	250									oskill	CharmSkill	1	1		0
Gargoyle's Bite	238	100	1			1	1	78	70	7ts	winged harpoon		5	5000	cgrn	cgrn		D2R_Jank				dmg%		180	230	rep-quant	99			dmg-pois	250	300	300	lifesteal		9	15	swing		40	40	dmg-norm		20	55																					oskill	CharmSkill	1	1		0
Arioc's Needle	239	100	1			1	1	85	81	7sr	Hyperion Spear (Now Pole)		5	5000				D2R_Jank				dmg%		180	230	dmg-pois	250	403	403	deadly		30	50	ignore-ac		1	1	allskills		2	4	swing		30	30																					oskill	CharmSkill	1	1		0
Rock Piercer	240	100	1			1	1	60	76	7tr	Stygian Pike		5	5000				D2R_Jank				extra-mag		40	60	dmg%		320	320	skill	Fend	3	8	skill	Impale	5	7	openwounds		30	70	skilltab	2	3	3	res-all		30	30	ac-miss		200	400													oskill	CharmSkill	1	1		0
Viperfork	241	100	1			1	1	79	71	7br	Mancatcher		5	5000	dgrn	dgrn		D2R_Jank				dmg%		190	240	dmg-pois	250	333	333	swing		50	50	att		200	250	hit-skill	CTC_PoisonExplosion	15	9	res-pois		30	50																					oskill	CharmSkill	1	1		0
Flash Forward	242	100	1			1	1	70	70	7st	Ghost Spear (Now Pole)		5	5000				D2R_Jank				stupidity		3	3	aura	ReduceLightResist	15	20	dmg-ltng		60	650	dmg%		170	170	hidden-vit		-500	-500	dmg-norm-2h		60	110	swing		60	60	sock		1	1													oskill	CharmSkill	1	1		0
Steelpillar	243	100	1			1	1	77	71	7p7	war pike (Now Pole)		5	5000				D2R_Jank				dmg%		210	260	swing		25	25	reduce-ac		20	20	ac%		50	80	crush		10	30																									oskill	CharmSkill	1	1		0
Bonehew	244	100	1			1	1	72	64	7o7	ogre axe		5	5000	bwht	bwht		D2R_Jank				dmg%		270	320	swing		30	30	kill-skill	Corpse Explosion	5	15	hit-skill	CTC_BoneSpear	50	16	noheal		1	1	sock		2	2																					oskill	CharmSkill	1	1		0
Tundra Tamer	245	100	1			1	1	74	80	7vo	Colossus Voulge		5	5000				D2R_Jank				slow		50	50	aura	ReduceColdResist	15	20	dmg-cold	50	250	350	dmg%		200	275	hidden-vit		-500	-500	openwounds		40	40	gethit-skill	Shiver Armor	3	10	ac		100	100													oskill	CharmSkill	1	1		0
The Reaper's Toll	246	100	1			1	1	83	75	7s8	Reaper Scythe (Necro)		5	5000				D2R_Jank				dmg%		190	240	hit-skill	CTC_Decrepify	33	5	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		33	33	dmg-cold	250	14	144	oskill	CalcifiedCarve	1	5	oskill	BoneSpikes	3	5									oskill	CharmSkill	1	1		0
Tomb Reaver	247	100	1			1	1	86	84	7pa	cryptic axe		5	5000	lyel	lyel		D2R_Jank				swing		60	60	light		4	4	dmg%		200	280	dmg-undead		150	230	mag%		50	80	res-all		30	50	att-undead		250	350	reanimate	1	10	10	heal-kill		10	14	sock		1	3					oskill	CharmSkill	1	1		0
Wind Shatter	248	100	1			1	1	74	86	7h7	Great Poleaxe		5	5000				D2R_Jank				skill	Whirlwind	3	6	freeze		3	3	noheal		1	1	dmg%		200	300	dmg-cold	500	250	500	hit-skill	CTC_Decrepify	3	5	hit-skill	CTC_TearDown	2	10	slow		40	60	aura	Holy Freeze	7	7									oskill	CharmSkill	1	1		0
Stormspire	249	100	1			1	1	78	70	7wc	Reaper Thresher (Necro)		5	5000	dblu	dblu		D2R_Jank				res-ltng		50	50	gethit-skill	CTC_ChainLightning	5	5	dmg%		150	250	str		10	10	gethit-skill	CTC_ChargedBolt	2	0	swing		30	30	dmg-ltng		1	237	light-thorns		27	27	oskill	BoneSpikes	3	5									oskill	CharmSkill	1	1		0
Natures Intention	250	100	1			1	1	70	62	Ds1	Walking Stick		5	5000				D2R_Jank				oskill	Murder Calling	2	2	oskill	Poison Creeper	3	3	extra-nature		25	50	skilltab	15	2	4	dmg%		200	200	mana%		10	20	ac		100	300	res-pois-len		50	50	res-pois		35	50	oskill	Arachnophobia	1	3					oskill	CharmSkill	1	1		0
Thermite Quicksand	251	100	1			1	1	72	64	6ls	Stalagmite		5	5000				D2R_Jank				oskill	Fire Mastery	10	10	att-skill	Fire Ball	15	15	gethit-skill	Overheat	1	8	fire-min		200	250	fire-max		375	505	crush		25	25	deadly		10	15	dmg%		200	300	swing		40	40	red-dmg%		8	15	abs-fire%		5	15	oskill	CharmSkill	1	1		0
Ondal's Wisdom	252	100	1			1	1	74	66	6cs	elder staff		5	5000				D2R_Jank				cast		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	5	red-mag		5	8																					oskill	CharmSkill	1	1		0
Stone Crusher	253	100	1			4	1	76	68	6bs	Shillelagh		5	5000	whit			D2R_Jank				dmg%		280	320	str		20	30	crush		10	25	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30																					oskill	CharmSkill	1	1		0
Mang Song's Lesson	254	100	1			1	1	86	82	6ws	archon staff		5	5000	dgld	dgld		D2R_Jank				allskills		5	5	pierce-all		7	15	regen-mana		100	100	cast		30	30	heal-kill		10	15	pierce-immunity-all		5	10																					oskill	CharmSkill	1	1		0
Cold Crow's Caw	255	100	1			1	1	65	60	6sb	Spider Bow		5	5000				D2R_Jank				swing		40	40	freeze		3	3	dmg%		225	250	pierce		33	33	nofreeze		1	1	abs-cold%		5	5	att		75	200	skilltab	1	2	5	charged	Murder Calling	60	10									oskill	CharmSkill	1	1		0
Trembling Vortex	256	100	1			1	1	60	62	6hb	Blade Bow		5	5000				D2R_Jank				dmg%		220	315	swing		60	60	slow		25	25	freeze		3	3	extra-cold		15	25	pierce-cold		15	15	manasteal		6	6	hit-skill	TremblingVortex	5	5	pierce-immunity-cold		10	10									oskill	CharmSkill	1	1		0
Corrupted String	257	100	1			1	1	63	64	6lb	Shadow Bow		5	5000	blac	blac		D2R_Jank				hp%		-5	-10	mana%		10	10	heal-perhit		4	4	lifesteal		12	12	dmg-norm		60	90	dmg-pois	125	512	512	kill-skill	CTC_Venom	5	10	gethit-skill	CTC_PoisonNova	3	15	dmg%		240	240									oskill	CharmSkill	1	1		0
Gyro Blaster	258	100	1			1	1	68	66	6cb	Great Bow		5	5000	dyel			D2R_Jank				oskill	ElectroBall	5	7	extra-ltng		20	30	ltng-min		60	60	ltng-max		900	1000	stupidity		5	5	dmg%		210	260	manasteal		4	12	kill-skill	CTC_Nova	15	15	ama		2	2	balance		24	24					oskill	CharmSkill	1	1		0
Underground	259	100	1			1	1	72	68	6s7	Diamond Bow		5	5000				D2R_Jank				att-skill	CTC_Fissure	2	15	ama		2	2	dmg%		100	100	dmg-norm		60	60	red-dmg%		15	15	res-all		10	15	dex/lvl	8			att%		75	150	hit-skill	Earthquake	3	10									oskill	CharmSkill	1	1		0
Eaglehorn	260	100	1			1	1	77	69	6l7	Crusader Bow		5	5000	dgld	dgld		D2R_Jank				ignore-ac		1	1	att/lvl	12			dmg%/lvl	16			dmg%		200	200	ama		1	1	dex		25	25																					oskill	CharmSkill	1	1		0
Widowmaker	261	100	1			1	1	73	65	6sw	ward bow		5	5000	dred	dred		D2R_Jank				dmg%		150	200	deadly		25	25	ignore-ac		1	1	skill	Magic Arrow	3	6	oskill	Guided Arrow	3	5																									oskill	CharmSkill	1	1		0
Windforce	262	100	1			1	1	80	73	6lw	Hydra Bow		5	5000	dyel	dyel		D2R_Jank				dex		5	5	dmg/lvl	25			move		20	30	manasteal		6	8	dmg%		250	250	swing		20	20	str		10	10	deadly/dex	1															oskill	CharmSkill	1	1		0
Philios Prophecy	263	100	1			1	1	74	60	6lx	Pellet Bow		5	5000	whit	whit		D2R_Jank				skill	Prismatic Arrow	3	7	swing		30	70	dmg		50	50	mana-perhit		4	4	skilltab	1	2	5	sum-dmg		100	200	sum-hp		100	100	dmg-mag		150	200													oskill	CharmSkill	1	1		0
Amnestys Glare	264	100	1			1	1	80	66	6mx	Gorgon Crossbow		5	5000				D2R_Jank				ama		1	1	gethit-skill	CTC_CycloneArmor	2	13	dmg-ltng		60	250	dmg-cold		100	250	dmg-fire		100	250	dmg%		180	180	dmg/lvl	8			swing		35	35	oskill	Evasive Tactics	3	3									oskill	CharmSkill	1	1		0
Hellrack	265	100	1			1	1	84	76	6hx	colossus crossbow		5	5000	cred			D2R_Jank				dmg%		180	230	dmg-elem	33	63	324	swing		20	20	att%		100	150	sock		2	2	skill	Curtain of Fire	5	5																					oskill	CharmSkill	1	1		0
Gutsiphon	266	100	1			1	1	79	71	6rx	demon crossbow		5	5000	lgrn	lgrn		D2R_Jank				dmg%		160	220	pierce		33	33	lifesteal		12	18	slow		25	25	openwounds		33	33																									oskill	CharmSkill	1	1		0
Enlightener	267	100	1			1	1	3	1	ob1	Eagle Orb		5	5000	whit	whit		D2R_Jank				light		4	4	oskill	Firestorm	3	3	mana-kill		1	4	res-fire		15	15	mana		8	25	extra-fire		4	6																					oskill	CharmSkill	1	1		0
Endothermic Stone	268	100	1			1	1	12	8	ob2	Sacred Globe		5	5000	lblu	lblu		D2R_Jank				regen-mana		10	30	mana%		8	20	extra-cold		6	8	cast		10	20	oskill	Ice Bolt	2	3	res-cold		8	13																					oskill	CharmSkill	1	1		0
Sensor	269	100	1			1	1	15	12	ob3	Smoked Sphere		5	5000	dred	dred		D2R_Jank				light		-1	-1	ac		10	25	oskill	Fire Ball	2	2	oskill	Warmth	2	2	hp		15	20	mana		20	30																					oskill	CharmSkill	1	1		0
Lightning Rod	270	100	1			1	1	23	17	ob4	Clasped Orb		5	5000	lyel	lyel		D2R_Jank				oskill	Rolling Thunder	3	3	oskill	Discharge	2	2	pierce-ltng		7	15	abs-ltng		1	5	res-ltng		10	15	regen-mana		30	40	pierce-immunity-light		5	10																	oskill	CharmSkill	1	1		0
Energizer	271	100	1			1	1	28	24	ob5	Jared's Stone		5	5000	dgld	dgld		D2R_Jank				oskill	Chain Lightning	2	2	skilltab	4	1	1	mana		30	50	cast		20	20	mana-kill		2	2	sock		1	1																					oskill	CharmSkill	1	1		0
The Artemis String	272	100	1			1	1	18	14	am1	Stag Bow		5	5000	lyel	lyel		D2R_Jank				dmg-elem		4	6	swing		10	15	dmg%		60	75	dmg-undead		60	80	dmg-demon		40	60	dex		5	10																					oskill	CharmSkill	1	1		0
Pinaka	273	100	1			1	1	27	20	am2	Reflex Bow		5	5000	dblu	dblu		D2R_Jank				dmg%		100	115	skilltab	0	2	2	extra-cold		10	15	dmg-cold	50	20	35	mana		35	45	slow		15	25																					oskill	CharmSkill	1	1		0
The Pain Producer	274	100	1			1	1	18	14	am3	Maiden Spear		5	5000	dred	dred		D2R_Jank				ama		1	1	skilltab	2	1	1	dmg%		150	175	swing		20	30	ac%		80	80	str		20	20	dex		20	20	lifesteal		3	5	manasteal		3	5									oskill	CharmSkill	1	1		0
The Poking Pike	275	100	1			1	1	27	20	am4	Maiden Pike		5	5000	dred	dred		D2R_Jank				ama		1	1	skilltab	2	1	1	dmg%		350	375	swing		15	25	str		30	30																									oskill	CharmSkill	1	1		0
Skovos Striker	276	100	1			1	1	23	17	am5	Maiden Javelin		5	5000				D2R_Jank				dmg%		75	75	ama		1	1	skilltab	1	1	2	dmg-throw		8	15	manasteal		4	6	swing		10	10	move		20	30	rep-quant	99															oskill	CharmSkill	1	1		0
Risen Phoenix	277	100	1			1	1	32	24	ob6	Glowing Orb		5	5000				D2R_Jank				fireskill		1	3	gethit-skill	Ignite	10	1	cast		20	20	res-fire-max		5	5	res-fire		20	20	fire-thorns		30	30	mana/lvl	16																			oskill	CharmSkill	1	1		0
Glacial Oasis	278	100	1			1	1	37	27	ob7	Crystalline Globe		5	5000				D2R_Jank				allskills		1	1	skilltab	5	1	3	nofreeze		1	1	cast		20	40	enr		10	40	gold%		100	250	gethit-skill	CTC_LowerResist	6	6	sum-dmg		75	150	res-all		25	25									oskill	CharmSkill	1	1		0
Thunderous	279	100	1			1	1	41	30	ob8	Cloudy Sphere		5	5000				D2R_Jank				ac		50	175	res-pois-len		50	50	cast		20	20	skilltab	4	2	4	enr		60	60	mag%		25	25	abs-ltng%		15	15	move		40	40	blockrate		20	20									oskill	CharmSkill	1	1		0
Magic	280	100	1			1	1	46	34	ob9	Sparkling Ball		5	5000				D2R_Jank				mag%		20	60	extra-elem		10	20	cast		60	60	all-stats		10	10	res-all		20	20	sock		2	2																					oskill	CharmSkill	1	1		0
The Oculus	281	100	1			1	1	50	42	oba	Swirling Crystal		5	5000				D2R_Jank				sor		3	3	gethit-skill	Teleport	25	1	res-all		20	20	cast		30	30	ac%		20	20	vit		20	20	enr		20	20	mana-kill		5	5	mag%		50	50									oskill	CharmSkill	1	1		0
Windraven	282	100	1			1	1	48	39	am6	Ashwood Bow		5	5000				D2R_Jank				dmg%		200	275	dmg-mag		50	90	res-all		15	30	ac		200	400	skilltab	0	1	3	mana		60	60	hp%		5	10																	oskill	CharmSkill	1	1		0
cap	283	100																																																																					0
cap	284	100																																																																					0
Lycander's Aim	285	100	1			1	1	50	42	am7	Ceremonial Bow		5	5000				D2R_Jank				ama		2	2	skilltab	0	2	2	dmg%		150	200	swing		20	20	ac%		20	20	dex		20	20	enr		20	20	manasteal		5	8	dmg-norm		25	50									oskill	CharmSkill	1	1		0
Titan's Revenge	286	100	1			1	1	50	42	ama	Ceremonial Javelin		5	5000				D2R_Jank				ama		2	2	skilltab	2	2	2	dmg%		150	200	move		30	30	rep-quant	99			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50									oskill	CharmSkill	1	1		0
Lycander's Flank	287	100	1			1	1	50	42	am9	Ceremonial Pike		5	5000				D2R_Jank				ama		2	2	skilltab	2	2	2	dmg%		150	200	swing		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		5	9	dmg-norm		25	50									oskill	CharmSkill	1	1		0
Above All	288	100	1			1	1	70	62	obb	Heavenly Stone		5	5000				D2R_Jank				allskills		2	2	skill	Energy Shield	4	7	skill	Shiver Armor	3	3	skill	Warmth	3	5	mana%		20	35	regen		5	25	cdr		10	25	res-all		5	15	cast		20	20									oskill	CharmSkill	1	1		0
Eschuta's Temper	289	100	1			1	1	74	68	obc	eldritch orb		5	5000	cred			D2R_Jank				sor		1	3	cast		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30																									oskill	CharmSkill	1	1		0
Belphegor's Beating	290	100	1			1	1	75	69	obd	Demon Heart		5	5000				D2R_Jank				demon-heal		20	30	allskills		3	3	oskill	Cold Mastery	2	2	oskill	Fire Mastery	2	2	oskill	Lightning Mastery	2	2	ac		200	400	red-dmg%		10	20																	oskill	CharmSkill	1	1		0
Tempest Firey	291	100	1			1	1	80	70	obe	Vortex Orb		5	5000				D2R_Jank				allskills		1	2	fireskill		2	2	extra-fire		10	15	skill	Hydra	3	5	res-fire		25	60	abs-fire%		5	10	nofreeze		1	1	sock	2	2														oskill	CharmSkill	1	1		0
Death's Fathom	292	100	1			1	1	81	73	obf	dimensional shard		3	5000	lblu			D2R_Jank				sor		3	3	extra-cold		15	30	cast		20	20	res-fire		25	40	res-ltng		25	40																									oskill	CharmSkill	1	1		0
Bloodraven's Charge	293	100	1			1	1	79	71	amb	matriarchal bow		5	5000	dgld	dgld		D2R_Jank				dmg%		180	230	att%		200	300	skill	Exploding Arrow	3	6	skilltab	0	2	4	charged	Revive	30	5																									oskill	CharmSkill	1	1		0
Shredwind Hell	294	100	1			1	1	79	84	amc	Grand Matron Bow		5	5000	dred	dred		D2R_Jank				dmg%		175	275	att%		100	200	skilltab	0	1	3	dmg-ac		-100	-100	dmg-demon		125	200	kill-skill	Overheat	25	25																					oskill	CharmSkill	1	1		0
Thunderstroke	295	100	1			1	1	77	69	amf	matriarchal javelin		5	5000	dblu	dblu		D2R_Jank				dmg%		150	200	dmg-ltng		1	511	hit-skill	CTC_Lightning	20	14	swing		15	15	pierce-ltng		15	15	skill	Thunder God's Wrath	3	3	skilltab	2	2	4	skill	Lightning Fury	1	3	rep-quant	99			pierce-immunity-light		10	10					oskill	CharmSkill	1	1		0
Stoneraven	296	100	1			1	1	72	64	amd	matriarchal spear		5	5000	dgry							dmg%		230	280	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3																									oskill	CharmSkill	1	1		0
Biggin's Bonnet	297	0	1			1	1	4	3	cap	Cap		5	5000	dpur			D2R_Jank				hp		15	15	att		30	30	dmg%		30	30	mana		15	15	ac		14	14	addxp		7	7																										0
Tarnhelm	298	0	1			1	1	20	15	skp	Skull Cap		5	5000	oran	oran		D2R_Jank				gold%		75	75	mag%		25	50	allskills		1	1	addxp		2	5																																		0
Coif of Glory	299	0	1			1	1	1	3	hlm	Helm		5	5000	whit			D2R_Jank				light-thorns		7	7	stupidity		1	1	res-ltng		15	15	ac-miss		100	100	ac		10	10																														0
